round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,conv_padding,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
6,0.6923842134638729,0.5897435948380039,0.6931179951098672,0.5595805525666083,51,32,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.30000000000000004,200,8,sigmoid,binary_crossentropy,8.02,200,4,4,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,8
6,0.12000452905383885,0.5897435899983104,0.12038358185152648,0.6301239276636885,51,16,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,32,0.1,200,8,sigmoid,logcosh,6.039999999999999,200,2,2,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,2
6,0.1202862246805786,0.4102564059261583,0.12013870013879525,0.36034318432567003,51,64,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.1,200,32,sigmoid,logcosh,4.06,200,4,1,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,8
6,0.6976679904848082,0.41025641127529305,0.693620489368675,0.5414680649088722,51,16,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,32,32,0.30000000000000004,200,32,sigmoid,binary_crossentropy,6.039999999999999,200,2,1,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,4
6,0.12114634046442488,0.410256410511131,0.12016691685120644,0.3603431839279269,51,32,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.1,200,8,sigmoid,logcosh,0.1,200,4,4,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,2
6,0.12010376295472822,0.5897435805736444,0.1201404013002453,0.38608198271295474,51,64,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,16,32,0.1,200,8,sigmoid,logcosh,2.08,200,1,2,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,8
6,0.12018761560957655,0.41025641127529305,0.12025797484288112,0.562440419454195,51,16,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,16,64,0.0,200,8,sigmoid,logcosh,6.039999999999999,200,4,1,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,8
7,0.6927162892798073,0.5897435948380039,0.6935125630849651,0.5929456620811848,51,32,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,32,32,0.4,200,16,sigmoid,binary_crossentropy,8.02,200,1,2,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,2
6,0.6911379796826941,0.5897435805736444,0.6932966835278347,0.6396568161857139,51,64,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,32,32,0.4,200,32,sigmoid,binary_crossentropy,0.1,200,4,1,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,4
6,0.6933371735434247,0.4102564059261583,0.6931732523657232,0.3946615822037932,51,64,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,16,32,0.4,200,16,sigmoid,binary_crossentropy,4.06,200,2,1,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,2
17,0.7614659264556363,0.5213675249336113,0.5272056920626143,0.7502383223820914,51,64,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,16,32,0.4,200,32,sigmoid,binary_crossentropy,2.08,200,1,1,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,8
6,0.12042621714182389,0.4102564059261583,0.12013419537855627,0.36034318432567003,51,64,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.2,200,8,sigmoid,logcosh,0.1,200,2,1,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,4
16,0.6914530691937504,0.5897435899983104,0.6934618414641563,0.38608198306808256,51,16,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.30000000000000004,200,8,sigmoid,binary_crossentropy,6.039999999999999,200,1,2,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,2
6,0.6922591675041069,0.5897435805736444,0.6933750926141402,0.6205910393689449,51,64,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.30000000000000004,200,8,sigmoid,binary_crossentropy,6.039999999999999,200,1,4,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,2
6,0.6942269262085613,0.41025641127529305,0.6933979078971055,0.3832221163154444,51,16,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,32,0.4,200,32,sigmoid,binary_crossentropy,6.039999999999999,200,1,2,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,4
6,0.12058317724965577,0.4102564059261583,0.12019076175611285,0.3984747377177212,51,64,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,16,64,0.2,200,16,sigmoid,logcosh,4.06,200,2,4,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,8
6,0.692188816702264,0.5897435948380039,0.6931697510900215,0.639656816072073,51,32,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.2,200,16,sigmoid,binary_crossentropy,0.1,200,4,2,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,2
7,0.6947543799367726,0.41025641127529305,0.6937870531563991,0.4766444232673504,51,16,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,32,0.2,200,16,sigmoid,binary_crossentropy,4.06,200,2,4,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,2
6,0.1206052364447178,0.41025641127529305,0.12021351374110457,0.5204957102001907,51,16,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,16,64,0.0,200,16,sigmoid,logcosh,8.02,200,4,1,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,2
6,0.12015440792609484,0.41025641127529305,0.1201764188912849,0.5948522402571995,51,16,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,16,32,0.0,200,8,sigmoid,logcosh,2.08,200,4,2,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,4
6,0.1196658617665625,0.5897435805736444,0.12014228485531757,0.63965681567433,51,64,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,16,32,0.4,200,32,sigmoid,logcosh,8.02,200,2,2,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,2
