round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
13,0.9140199799822946,0.6495726505915324,0.33219381078751004,0.8646329839077305,49,16,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,16,32,0.0,200,40,sigmoid,binary_crossentropy,2.08,14000,2,1,<class 'keras.optimizers.Nadam'>,1.3623376623376624,4,10
8,0.6918967167536417,0.6495726495726496,0.6933631635598618,0.4213536702757,49,16,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,16,32,0.30000000000000004,200,40,sigmoid,binary_crossentropy,6.039999999999999,14000,4,1,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,10
6,0.11988986111604251,0.649572652629298,0.12011241526462783,0.6329837947714545,49,32,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,16,32,0.1,200,20,sigmoid,logcosh,0.1,14000,2,4,<class 'keras.optimizers.Nadam'>,1.3623376623376624,2,5
17,0.09072703174036792,0.717948720495925,0.06232162056449939,0.824594851615204,49,32,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,16,64,0.2,200,40,sigmoid,logcosh,4.06,14000,1,4,<class 'keras.optimizers.Adam'>,1.3623376623376624,4,10
6,0.12029453468883139,0.35042735271983677,0.12016473966939206,0.3879885608747644,49,32,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.1,200,40,sigmoid,logcosh,4.06,14000,4,1,<class 'keras.optimizers.Nadam'>,1.3623376623376624,2,20
6,0.693106922838423,0.649572652629298,0.6936023788183956,0.5938989514390892,49,32,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,32,64,0.30000000000000004,200,40,sigmoid,binary_crossentropy,6.039999999999999,14000,4,1,<class 'keras.optimizers.Nadam'>,1.3623376623376624,2,20
8,0.7026410683607444,0.6752136787797651,0.463987618343846,0.8083889412243555,49,32,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,32,64,0.30000000000000004,200,20,sigmoid,binary_crossentropy,8.02,14000,1,1,<class 'keras.optimizers.Nadam'>,1.3623376623376624,4,20
25,0.5258364911772248,0.7350427380993835,0.5451653507689957,0.7483317450867936,49,32,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,16,32,0.1,200,20,sigmoid,binary_crossentropy,0.1,14000,2,1,<class 'keras.optimizers.Adam'>,1.3623376623376624,4,10
6,0.13171182566473627,0.6410256445917308,0.030217199352835337,0.9256434699714013,49,32,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,32,64,0.2,200,20,sigmoid,logcosh,2.08,14000,1,1,<class 'keras.optimizers.Nadam'>,1.3623376623376624,2,20
6,0.15200869649903387,0.6495726495726496,0.21689046531546333,0.6329837942600705,49,16,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,32,64,0.0,200,160,sigmoid,logcosh,2.08,14000,4,4,<class 'keras.optimizers.Nadam'>,1.3623376623376624,2,20
