round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
9,0.54253420412031,0.7350427380993835,0.6066849695374786,0.7159199232823288,51,32,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,16,64,0.4,200,160,sigmoid,binary_crossentropy,0.1,14000,2,4,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,5
6,0.24098939582323417,0.44444444469916516,0.2168904555139369,0.3565300287407165,51,32,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,32,64,0.30000000000000004,200,40,sigmoid,logcosh,6.039999999999999,14000,4,4,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,20
8,0.6934798161188761,0.44444444469916516,0.6934639507526438,0.542421353542316,51,32,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,16,32,0.30000000000000004,200,20,sigmoid,binary_crossentropy,4.06,14000,2,4,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,20
6,0.6934378243919112,0.4444444454633273,0.6934197339929775,0.4890371782792194,51,16,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,16,32,0.1,200,40,sigmoid,binary_crossentropy,6.039999999999999,14000,2,4,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,5
6,0.6932971024105692,0.44444444469916516,0.6931681061950152,0.444232602222859,51,32,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,16,32,0.4,200,40,sigmoid,binary_crossentropy,2.08,14000,1,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,20
6,0.24098939582323417,0.44444444469916516,0.21689045657932018,0.3565300283429734,51,32,0.7770370370370371,relu,uniform,uniform,32,relu,uniform,uniform,32,32,0.1,200,20,sigmoid,logcosh,6.039999999999999,14000,4,2,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,20
6,7.16359802800366,0.5555555558102763,8.059047685337703,0.643469971571796,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,32,64,0.1,200,40,sigmoid,binary_crossentropy,6.039999999999999,14000,2,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
16,0.5229139277058789,0.7606837609384813,0.5269928489331408,0.7750238323916243,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,16,32,0.30000000000000004,200,20,sigmoid,binary_crossentropy,2.08,14000,4,2,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,5
6,0.11122587425077063,0.7435897446086264,0.2069175313835035,0.5395614873010619,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,32,64,0.30000000000000004,200,80,sigmoid,logcosh,6.039999999999999,14000,4,2,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,10
9,0.08647682670599376,0.7094017104205922,0.09805884078017181,0.7025738799992463,51,16,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,16,32,0.2,200,20,sigmoid,logcosh,0.1,14000,1,2,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,10
7,0.6929541169068753,0.5555555606499697,0.6937849368221767,0.37654909411990384,51,32,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,16,64,0.30000000000000004,200,40,sigmoid,binary_crossentropy,4.06,14000,1,2,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
6,0.12014643389445084,0.44444444469916516,0.1201989963593883,0.5290753093643116,51,32,0.7770370370370371,relu,uniform,uniform,32,relu,uniform,uniform,16,64,0.4,200,20,sigmoid,logcosh,6.039999999999999,14000,1,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,10
13,0.5551997978463132,0.7350427352974558,0.5102937694273186,0.7664442326024785,51,16,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,16,64,0.2,200,80,sigmoid,binary_crossentropy,2.08,14000,1,4,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,20
11,0.08673225527899897,0.7435897471558335,0.09623624423467284,0.7283126784007361,51,32,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.0,200,160,sigmoid,logcosh,0.1,14000,1,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,10
13,0.6932347478010715,0.44444444469916516,0.6938842171936289,0.5700667303897178,51,32,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,32,64,0.2,200,80,sigmoid,binary_crossentropy,4.06,14000,1,1,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,20
9,0.7074607987689157,0.6410256445917308,0.41850484164699814,0.8074356536847052,51,32,0.7770370370370371,relu,uniform,uniform,32,relu,uniform,uniform,32,64,0.30000000000000004,200,160,sigmoid,binary_crossentropy,4.06,14000,1,2,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,10
13,8.856880815620096,0.4444444454633273,7.688355349039782,0.3755958057563571,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,16,32,0.30000000000000004,200,20,sigmoid,binary_crossentropy,2.08,14000,2,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
24,0.529005933011699,0.760683764759292,0.5054057966651407,0.7454718782631299,51,32,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,16,64,0.30000000000000004,200,40,sigmoid,binary_crossentropy,0.1,14000,2,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
8,0.08660535934643868,0.7435897471558335,0.09853553175358004,0.703527169016228,51,32,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,32,64,0.2,200,20,sigmoid,logcosh,0.1,14000,1,2,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
7,0.09639798735196774,0.6923076958737822,0.08181699523764412,0.7426120117235684,51,32,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,32,32,0.2,200,20,sigmoid,logcosh,2.08,14000,2,1,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,10
20,0.0809321754381188,0.7692307722874177,0.07562935857317127,0.7778836989311858,51,32,0.7770370370370371,relu,uniform,uniform,32,relu,uniform,uniform,16,32,0.30000000000000004,200,160,sigmoid,logcosh,0.1,14000,2,1,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,10
7,0.6190446498047593,0.7521367523914728,0.46885627218379194,0.7464251669960095,51,16,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,32,64,0.0,200,40,sigmoid,binary_crossentropy,4.06,14000,1,1,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,20
6,7.163597938341972,0.5555555606499697,8.036040697015958,0.6406101049185936,51,32,0.7770370370370371,relu,uniform,uniform,32,relu,uniform,uniform,16,64,0.30000000000000004,200,80,sigmoid,binary_crossentropy,6.039999999999999,14000,2,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,20
6,0.6922246620186374,0.5555555606499697,0.6932275150365439,0.44327931329110787,51,32,0.7770370370370371,relu,uniform,uniform,32,relu,uniform,uniform,32,64,0.4,200,80,sigmoid,binary_crossentropy,8.02,14000,4,4,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,5
6,0.19279151467176583,0.5555555558102763,0.21721178058133567,0.6425166826116345,51,16,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,32,64,0.1,200,40,sigmoid,logcosh,4.06,14000,1,1,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,20
6,0.24098939595059451,0.4444444454633273,0.21689045440593824,0.35653002860576793,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,32,64,0.0,200,40,sigmoid,logcosh,4.06,14000,2,1,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,10
8,0.6929439718906696,0.5555555606499697,0.693307618678923,0.39847473791659277,51,32,0.7770370370370371,relu,uniform,uniform,32,relu,uniform,uniform,16,64,0.0,200,20,sigmoid,binary_crossentropy,2.08,14000,4,1,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,10
12,0.7007992695539426,0.7350427352974558,0.33901130252502665,0.861773117368169,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,32,64,0.0,200,40,sigmoid,binary_crossentropy,0.1,14000,2,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
7,0.6936860787562835,0.4444444454633273,0.693315869632281,0.4318398474808871,51,16,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,16,32,0.2,200,40,sigmoid,binary_crossentropy,4.06,14000,4,4,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,20
8,0.6319882074991862,0.7094017134772407,0.3861765869466092,0.8350810298360565,51,32,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,32,32,0.30000000000000004,200,40,sigmoid,binary_crossentropy,2.08,14000,1,1,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,10
6,8.856880815620096,0.4444444454633273,7.957312646653109,0.35843660637693703,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,16,64,0.30000000000000004,200,160,sigmoid,binary_crossentropy,6.039999999999999,14000,1,2,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,20
10,0.5421923572181636,0.7094017104205922,0.5366554296903092,0.7244995233555768,51,16,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,32,32,0.0,200,20,sigmoid,binary_crossentropy,2.08,14000,1,4,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,20
6,0.19279151467176583,0.5555555558102763,0.21689046279405616,0.6434699714581551,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,32,32,0.2,200,20,sigmoid,logcosh,4.06,14000,4,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
13,0.728447965067676,0.675213675468396,0.31723928764050524,0.8732125836400558,51,16,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,16,64,0.2,200,20,sigmoid,binary_crossentropy,0.1,14000,1,1,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,10
9,0.11982809166368256,0.5555555558102763,0.12025591942727623,0.39942802691936946,51,16,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,32,32,0.0,200,160,sigmoid,logcosh,8.02,14000,4,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
8,0.24098939595059451,0.4444444454633273,0.21182566614123727,0.41468064825062073,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,32,32,0.2,200,20,sigmoid,logcosh,8.02,14000,1,2,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,5
10,0.6908718159056118,0.5555555558102763,0.6941875396624875,0.5176358437458598,51,16,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,32,64,0.30000000000000004,200,20,sigmoid,binary_crossentropy,8.02,14000,2,1,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,20
